article-title,article-pmid
Anhedonia is associated with reduced incentive cue related activation in the basal ganglia,26105776
An approach to MRI-based dosimetry for transcranial magnetic stimulation ,17509897
The role of the amygdala and rostral anterior cingulate in encoding expected outcomes during learning ,16387514
Phonological working memory with auditory presentation of pseudo-words — An event related fMRI Study ,18442810
The role of the insula in speech and language processing,25016092
Recollection-related Hippocampal Activity during Continuous Recognition: a High-Resolution fMRI Study,20232398
What vs. where in touch: an fMRI study ,15808973
"The effects of age, sex, and hormones on emotional conflict-related brain response during adolescence",26175008
Alterations of functional connectivities from early to middle adulthood: Clues from multivariate pattern analysis of resting-state fMRI data ,26825442
Altered Regional Homogeneity in Rolandic Epilepsy: A Resting-State fMRI Study,25247197
Threat of shock increases excitability and connectivity of the intraparietal sulcus,28555565
Impairment and compensation coexist in amnestic MCI default mode network ,20006713
Can Taichi Reshape the Brain? A Brain Morphometry Study,23585869
The effects of age on cerebral activations: internally versus externally driven processes,22536185
Dynamic pupillary exchange engages brain regions encoding social salience,19048432
The neural correlates of visuo-spatial working memory in children with autism spectrum disorder: effects of cognitive load,25057329
Dissociable contributions of the mid-ventrolateral frontal cortex and the medial temporal lobe system to human memory ,16624583
Abnormal resting-state functional connectivity of the left caudate nucleus in obsessive-compulsive disorder ,27143323
Amodal Processing in Human Prefrontal Cortex,23843526
Neural processing of basic tastes in healthy young and older adults — an fMRI study ,26072251
Self-paced and externally triggered rhythmical lower limb movements: A functional MRI study ,22480693
Reward-Related Activity in Ventral Striatum Is Action Contingent and Modulated by Behavioral Relevance,24453318
Propofol disrupts functional interactions between sensory and high‐order processing of auditory verbal memory,21932265
Deactivation in the posterior mid-cingulate cortex reflects perceptual transitions during binocular rivalry: Evidence from simultaneous EEG-fMRI,28219776
Neural Signatures of the Reading-Writing Connection: Greater Involvement of Writing in Chinese Reading than English Reading,27992505
Enhancing Sensorimotor Activity by Controlling Virtual Objects with Gaze,25799431
Automatic Top-Down Processing Explains Common Left Occipito-Temporal Responses to Visual Words and Objects,20413450
fMRI of parents of children with Asperger Syndrome: A pilot study ,16460858
fMRI Response During Figural Memory Task Performance in College Drinkers,23949205
Visual Predictions in the Orbitofrontal Cortex Rely on Associative Content,23771980
The behavioral and neural effect of emotional primes on intertemporal decisions,23160811
Working Together May Be Better: Activation of Reward Centers during a Cooperative Maze Task,22355319
The Neural Basis of Involuntary Episodic Memories,24702453
Unleashing creativity: The role of left temporoparietal regions in evaluating and inhibiting the generation of creative ideas ,25261613
Neural Substrates of Spontaneous Musical Performance: An fMRI Study of Jazz Improvisation,18301756
The Neural Correlates of Shoulder Apprehension: A Functional MRI Study,26351854
The spatiospectral characterization of brain networks: fusing concurrent EEG spectra and fMRI maps,23266744
The timing and precision of action prediction in the aging brain,26503586
The effect of individual differences in working memory capacity on sentence comprehension: an fMRI study,23124385
The Dorsal Medial Prefrontal Cortex Is Recruited by High Construal of Non-social Stimuli,28352220
Intact relational memory and normal hippocampal structure in the early stage of psychosis,22055016
Neural correlates and network connectivity underlying narrative production and comprehension: A combined fMRI and PET study ,24845161
Attention‐related networks in Alzheimer's disease: A resting functional MRI study,21538702
Prefrontal Contributions to Metacognition in Perceptual Decision Making,22553018
Segregated and overlapping neural circuits exist for the production of static and dynamic precision grip force,22109998
The role of prestimulus activity in visual extinction ☆,23680398
Excitatory repetitive transcranial magnetic stimulation induces improvements in chronic post-stroke aphasia,21358599
Preparatory neural activity predicts performance on a conflict task,17889835
Spatial and temporal features of superordinate semantic processing studied with fMRI and EEG,23847490
Dissociable neural processes during risky decision-making in individuals with Internet-gaming disorder ☆,28413776
An fMRI Study of Magnitude Comparison and Exact Addition in Children,20116955
Distinct Neural Activity Associated with Focused-Attention Meditation and Loving-Kindness Meditation,22905090
Analyses of regional-average activation and multivoxel pattern information tell complementary stories ,22100534
Cortical thickness analysis and optimized voxel-based morphometry in children and adolescents with prelingually profound sensorineural hearing loss ,22079323
Spatiotemporal dynamics of human object recognition processing: An integrated high-density electrical mapping and functional imaging study of “closure” processes ,16168676
From Vivaldi to Beatles and back: Predicting lateralized brain responses to music ,23810975
Human Reversal Learning Under Conditions of Certain versus Uncertain Outcomes,21281720
Functional and structural brain differences associated with mirror-touch synaesthesia ,23921098
Projecting memories: The role of the hippocampus in emotional mentalizing ,20817106
Self processing in the brain: A paradigmatic fMRI case study with a professional singer ,24732954
Multi-task functional MRI in multiple sclerosis patients without clinical disability,21840409
Identifying the brain's most globally connected regions ,19909818
The neuroscience of group membership ,22609579
Pharmacological modulation of pulvinar resting-state regional oscillations and network dynamics in major depression,27148894
Parahippocampal cortex is involved in material processing via echoes in blind echolocation experts ,25086210
Atypical Involvement of Frontostriatal Systems During Sensorimotor Control in Autism,17913474
Object visibility alters the relative contribution of ventral visual stream and mirror neuron system to goal anticipation during action observation,25462688
Implementation of visuospatial cues in response selection ,16087350
Successful Face Recognition is Associated with Increased Prefrontal Cortex Activation in Autism Spectrum Disorder,25234479
Developmental increases in effective connectivity to brain regions involved in phonological processing during tasks with orthographic demands,18068690
Dissociating maternal responses to sad and happy facial expressions of their own child: An fMRI study,28806742
An fMRI investigation of the fronto-striatal learning system in women who exhibit eating disorder behaviors,21419229
Neural correlates of emotion recognition in schizophrenia ,20663646
Neural substrates for verbal working memory in deaf signers: fMRI study and lesion case report ,16246734
Functional neural correlates of reduced physiological falls risk,21846395
Effects of 12 Months Continuous Positive Airway Pressure on Sympathetic Activity Related Brainstem Function and Structure in Obstructive Sleep Apnea,27013952
Mapping joint grey and white matter reductions in Alzheimer's disease using joint independent component analysis,23123779
How instructions modify perception: An fMRI study investigating brain areas involved in attributing human agency,20398769
Variability of the BOLD response over time: An examination of within-session differences ,16857390
Resting State Functional Connectivity within the Cingulate Cortex Jointly Predicts Agreeableness and Stressor-Evoked Cardiovascular Reactivity,21130172
"Vigilance in the laboratory predicts avoidance in the real world: A dimensional analysis of neural, behavioral, and ecological momentary data in anxious youth",27010577
What activates the human mirror neuron system during observation of artificial movements: Bottom-up visual features or top-down intentions? ,18339409
Neural representation and clinically relevant moderators of individualised self-criticism in healthy subjects,23887820
Broad and Narrow Conceptual Tuning in the Human Frontal Lobes,20562319
Effects of aging on task- and stimulus-related cerebral attention networks ,27318136
Altered Engagement of Attention and Default Networks during Target Detection in Schizophrenia,20869846
Prior Consumption of a Fat Meal in Healthy Adults Modulates the Brain’s Response to Fat 1 2 3,27655761
Cultural differences in human brain activity: A quantitative meta-analysis ,24882220
Microstructural white matter changes in normal aging: A diffusion tensor imaging study with higher-order polynomial regression models ,19699804
Neural correlates of spatial working memory in humans: A functional magnetic resonance imaging study comparing visual and tactile processes ,16324793
"Distinct regions of the cerebellum show gray matter decreases in autism, ADHD, and developmental dyslexia",24904314
Neural correlates of word production stages delineated by parametric modulation of psycholinguistic variables,19365800
Reduced Neural Activation During an Inhibition Task is Associated with Impaired Fear Inhibition in a Traumatized Civilian Sample,23020899
The influence of prior record on moral judgment ☆,18606175
Modulation of default-mode network activity by acute tryptophan depletion is associated with mood change: A resting state functional magnetic resonance imaging study ,21078349
Distinct unimodal and multimodal regions for word processing in the left temporal cortex ,15589091
Co-localization of Stroop and Syntactic Ambiguity Resolution in Broca’s Area,19199402
Medial frontal and dorsal cortical morphometric abnormalities are related to obsessive-compulsive disorder ,19666084
Patients with Schizophrenia Fail to Up-Regulate Task-Positive and Down-Regulate Task-Negative Brain Networks: An fMRI Study Using an ICA Analysis Approach,22666197
Decreased neural activity and neural connectivity while performing a set-shifting task after inhibiting repetitive transcranial magnetic stimulation on the left dorsal prefrontal cortex,26199083
The neural correlates of negative prediction error signaling in human fear conditioning ,20869454
The gender you are and the gender you like: Sexual preference and empathic neural responses ,23994213
Default mode network deactivation during emotion processing predicts early antidepressant response,28117844
Neural Correlates of Graphic Cigarette Warning Labels Predict Smoking Cessation Relapse,28236714
Bright-light intervention induces a dose-dependent increase in striatal response to risk in healthy volunteers ,27318214
Temporal Lobe Dysfunction in Medication-Naïve Boys With Attention-Deficit/Hyperactivity Disorder During Attention Allocation and Its Relation to Response Variability ,17585887
Association between abnormal default mode network activity and suicidality in depressed adolescents,27688124
Is Aberrant Functional Connectivity A Psychosis Endophenotype? A Resting State Functional Magnetic Resonance Imaging Study,23746539
Changes in cerebral blood flow after transjugular intrahepatic portosystemic shunt can help predict the development of hepatic encephalopathy: An arterial spin labeling MR study ,22832118
Gender differences in brain activity evoked by muscle and cutaneous pain: A retrospective study of single-trial fMRI data ,18069004
Evidence of Slow Maturation of the Superior Longitudinal Fasciculus in Early Childhood by Diffusion Tensor Imaging,17826183
Consolidation of Complex Events via Reinstatement in Posterior Cingulate Cortex,26511235
EEG correlates of time-varying BOLD functional connectivity,23376790
"Effects of imaging modalities, brain atlases and feature selection on prediction of Alzheimer's disease ",26318777
A functional MRI comparison of patients with obsessive–compulsive disorder and normal controls during a Chinese character Stroop task ,15970434
Aging and Cortical Mechanisms of Speech Perception in Noise,19124032
Neural differences underlying face processing in veterans with TBI and co-occurring TBI and PTSD ,28753471
Impaired fear recognition and attentional set-shifting is associated with brain structural changes in alcoholic patients,25123156
A frontotemporoparietal network common to initiating and responding to joint attention bids ,25534111
New insights into name category-related effects: is the Age of Acquisition a possible factor?,19640289
Pattern of activation during delayed matching to sample task predicts functional outcome in people at ultra high risk for psychosis ,27693282
Regional homogeneity changes in social anxiety disorder: A resting-state fMRI study ,21831605
The Extended Functional Neuroanatomy of Emotional Processing Biases for Masked Faces in Major Depressive Disorder,23056309
Memory for shape reactivates the lateral occipital complex ,25623846
Content-specific activation during associative long-term memory retrieval ,15964209
Brain activity during emotionally negative pictures in schizophrenia with and without flat affect: An fMRI study ,16143498
Audio-Visual Perception of 3D Cinematography: An fMRI Study Using Condition-Based and Computation-Based Analyses,24194828
Changes in resting state functional brain connectivity and withdrawal symptoms are associated with acute electronic cigarette use,28528203
Can clouds dance? Neural correlates of passive conceptual expansion using a metaphor processing task: Implications for creative cognition ,22204876
Widespread changes of white matter microstructure in obsessive–compulsive disorder: Effect of drug status ,22954900
Spontaneous Brain Activity in the Default Mode Network Is Sensitive to Different Resting-State Conditions with Limited Cognitive Load,19492040
Remember the Future II: Meta-analyses and Functional Overlap of Working Memory and Delay Discounting,24041504
Genotype–phenotype interactions in primary dystonias revealed by differential changes in brain structure,19344776
Neural efficiency as a function of task demands ☆,24489416
fMRI measurements of amygdala activation are confounded by stimulus correlated signal fluctuation in nearby veins draining distant brain regions,25994551
Differences in global and local level information processing in autism: an fMRI investigation,23768913
Age and experience shape developmental changes in the neural basis of language-related learning,22010887
Emotional and cognitive aspects of empathy and their relation to social cognition—an fMRI-study ,19944083
Cortical activation during mental rotation in male-to-female and female-to-male transsexuals under hormonal treatment ,20219285
Proneness to social anxiety modulates neural complexity in the absence of exposure: A resting state fMRI study using Hurst exponent ,25882042
Sensory cortical response to uncertainty and low salience during recognition of affective cues in musical intervals,28422990
Brain maps of Iowa gambling task,18655719
DUAL PATHWAYS FOR HAPTIC AND VISUAL PERCEPTION OF SPATIAL AND TEXTURE INFORMATION,21575727
Regional differences in the developmental trajectory of lateralization of the language network,23033058
Greater striatal responses to medication in Parkinson׳s disease are associated with better task-switching but worse reward performance ,24912070
Age-related alterations in default mode network: impact on working memory performance,18674847
Medial prefrontal cortex–dorsal anterior cingulate cortex connectivity during behavior selection without an objective correct answer ,20655361
The Temporal Derivative of Expected Utility: A Neural Mechanism for Dynamic Decision-making,22963852
"The Relationship between Fearfulness, GABA+, and Fear-Related BOLD Responses in the Insula",25811453
Mental representations of action: The neural correlates of the verbal and motor components ,20226773
Common neural substrates for the control and effects of visual attention and perceptual bistability ,15922162
Neural correlates associated with intermanual transfer of sensorimotor adaptation ,17996854
Accumbens functional connectivity during reward mediates sensation-seeking and alcohol use in high-risk youth *,22958950
Hunger does not motivate reward in women remitted from anorexia nervosa,25481622
An fMRI study of attentional control in the context of emotional distracters in euthymic adults with bipolar disorder,22510433
Brain Networks Subserving the Extraction of Sentence Information and Its Encoding to Memory,17372276
Frontoparietal Connectivity in Substance-naïve Youth with and without a Family History of Alcoholism,22138427
"The Good, the Bad, and the Just: Justice Sensitivity Predicts Neural Response during Moral Evaluation of Actions Performed by Others",24647937
Multivariate searchlight classification of structural MRI in children and adolescents with autism,21890111
Associative reinstatement memory measures hippocampal function in Parkinson's Disease ,27133526
Leading the follower: An fMRI investigation of dynamic cooperativity and leader–follower strategies in synchronization with an adaptive virtual partner ,24064075
Neural predictors of moment-to-moment fluctuations in cognitive flexibility,18757744
II. Temporal Patterns of Longitudinal Change in Aging Brain Function,17178430
Neural correlates of continuous causal word generation ,22691614
L1 and L2 processing in the bilingual brain: A meta-analysis of neuroimaging studies ,27295606
Neural Correlates of Emotional Personality: A Structural and Functional Magnetic Resonance Imaging Study,24312166
PER2 rs2304672 Polymorphism Moderates Circadian-Relevant Reward Circuitry Activity in Adolescents,22137505
Structural and Functional Cerebral Correlates of Hypnotic Suggestibility,24671130
Non-linear Parameter Estimates from Non-stationary MEG Data,27597815
Stable Modality-Specific Activity Flows As Reflected by the Neuroenergetic Approach to the fMRI Weighted Maps,22432026
Thirst and the state-dependent representation of incentive stimulus value in human motive circuitry,25971601
L-DOPA changes spontaneous low-frequency BOLD signal oscillations in Parkinson's disease: a resting state fMRI study,22783172
Neural Dysregulation During a Working Memory Task in Human Immunodeficiency Virus-Seropositive and Hepatitis C Coinfected Individuals,24867610
Functional Neuroanatomical Evidence for the Double-Deficit Hypothesis of Developmental Dyslexia,24953957
I’m not as slim as that girl: Neural bases of body shape self-comparison to media images ,17604649
Direction-specific adaptation of magnetic responses to motion onset ,16022878
Functional and structural cerebral changes in key brain regions after a facilitation programme for episodic future thought in relapsing-remitting multiple sclerosis patients ,27045451
Memory performance and fMRI signal in presymptomatic familial Alzheimer's disease,22806961
Sequential Activation of Human Oculomotor Centers During Planning of Visually-Guided Eye Movements: A Combined fMRI-MEG Study,18958215
Do bilinguals show neural differences with monolinguals when processing their native language? ,25658632
Personality factors correlate with regional cerebral perfusion ,16529951
Neural Basis of Limb Ownership in Individuals with Body Integrity Identity Disorder,23991064
Age Mediation of Frontoparietal Activation during Visual Feature Search,25102420
Swallowing intentional off-state in aging and Alzheimer’s disease: preliminary study,21654061
A failure of suppression within the default mode network in depressed adolescents with compulsive internet game play ,26802508
Longitudinal Growth Curves of Brain Function Underlying Inhibitory Control through Adolescence,24227721
Enhanced Brain Responses to Pain-Related Words in Chronic Back Pain Patients and Their Modulation by Current Pain,27517967
Cracking the Language Code: Neural Mechanisms Underlying Speech Parsing,16855090
A Neurocomputational Account of How Inflammation Enhances Sensitivity to Punishments Versus Rewards,26359113
Microstructural status of ipsilesional and contralesional corticospinal tract correlates with motor skill in chronic stroke patients,19370766
Evidence of fronto-temporal interactions for strategic inference processes during language comprehension ,18201911
Preservation and Modulation of Specific Left Hemisphere Regions is Vital for Treated Recovery from Anomia in Stroke,20810877
Acupuncture Evoked Response in Contralateral Somatosensory Cortex Reflects Peripheral Nerve Pathology of Carpal Tunnel Syndrome,24761177
Autobiographical memory in semantic dementia: New insights from two patients using fMRI ,23954715
"VARENICLINE, NALTREXONE, AND THEIR COMBINATION FOR HEAVY-DRINKING SMOKERS: PRELIMINARY NEUROIMAGING FINDINGS",24949564
Variants of uncertainty in decision-making and their neural correlates ,16216687
The Neural Correlates of Calculation Ability in Children: An fMRI Study,19570639
"The Relationship between Aging, Performance, and the Neural Correlates of Successful Memory Encoding",18653664
Functional connectivity of neural motor networks is disrupted in children with developmental coordination disorder and attention-deficit/hyperactivity disorder,24818082
"Abnormal Causal Connectivity by Structural Deficits in First-Episode, Drug-Naive Schizophrenia at Rest",25170032
A Functional Magnetic Resonance Imaging Study to Investigate the Utility of a Picture Imagination Task in Investigating Neural Responses in Patients with Chronic Musculoskeletal Pain to Daily Physical Activity Photographs,26496709
Effect of levodopa on both verbal and motor representations of action in Parkinson’s disease: A fMRI study ,22841350
Representation of visual symbols in the visual word processing network ,25645511
Feedback associated with expectation for larger-reward improves visuospatial working memory performances in children with ADHD,26142072
Neural Correlates of the Perception for Novel Objects,23646167
Neural synchrony and white matter variations in the human brain — Relation between evoked gamma frequency and corpus callosum morphology ,20600369
The neural correlates of gist-based true and false recognition,22155331
Simulating Fiction: Individual Differences in Literature Comprehension Revealed with fMRI,25671708
Lexicality drives audio-motor transformations in Broca’s area ,19698980
Rivalry of homeostatic and sensory-evoked emotions: Dehydration attenuates olfactory disgust and its neural correlates ,25818686
Adolescents’ emotional competence is associated with parents’ neural sensitivity to emotions,25100982
Brain Activation During Emotional Memory Processing Associated with Subsequent Course of Depression,25857684
Test-retest reliability of fMRI experiments during robot-assisted active and passive stepping,26577598
Isolating event-related potential components associated with voluntary control of visuo-spatial attention ,18621037
Investigating the dynamics of the brain response to music: A central role of the ventral striatum/nucleus accumbens ,25976924
Hemispheric asymmetry in myelin after stroke is related to motor impairment and function,28229041
When the future becomes the past: Differences in brain activation patterns for episodic memory and episodic future thinking ,20399235
Clinical symptoms and alpha band resting-state functional connectivity imaging in patients with schizophrenia: implications for novel approaches to treatment,21861988
"Is family special to the brain? An event-related fMRI study of familiar, familial, and self-face recognition ",19159636
Conflict and inhibition differentially affect the N200/P300 complex in a combined go/nogo and stop-signal task ,20188191
Evidence for a dysfunctional retrosplenial cortex in patients with schizophrenia: a functional magnetic resonance imaging study with a semantic—perceptual contrast ,15380297
Altered Fronto-Striatal and Fronto-Cerebellar Circuits in Heroin-Dependent Individuals: A Resting-State fMRI Study,23483978
Neural circuit of verbal humor comprehension in schizophrenia - an fMRI study,28652967
The Neural Processing of Second Language Comprehension Modulated by the Degree of Proficiency: A Listening Connected Speech fMRI Study,22927897
Structural plasticity of the left caudate in bimodal bilinguals ,21741636
On the context-dependent nature of the contribution of the ventral premotor cortex to speech perception,21664275
The Persistence of Experience: Prior Attentional and Emotional State Affects Network Functioning in a Target Detection Task,24904075
Neuroticism modulates amygdala—prefrontal connectivity in response to negative emotional facial expressions ,19683585
Articulatory movements modulate auditory responses to speech,22982103
The activation of theory of mind network differentiates between point-to-self and point-to-other verbal jokes: An fMRI study ,24513232
Dopamine receptor 4 promoter polymorphism modulates memory and neuronal responses to salience ,24099848
Neural correlates of painful genital touch in women with vulvar vestibulitis syndrome ,15836975
Reading for meaning in dyslexic and young children: Distinct neural pathways but common endpoints ,19433099
Silent music reading: Auditory imagery and visuotonal modality transfer in singers and non-singers ,25222292
Developmental changes in multivariate neuroanatomical patterns that predict risk for psychosis in 22q11.2 deletion syndrome,20817203
Impact of the Genome Wide Supported NRGN Gene on Anterior Cingulate Morphology in Schizophrenia,22253779
Functional MRI approach to developmental methylmercury and polychlorinated biphenyl neurotoxicity,21545807
Developmental improvements in voluntary control of behavior: Effect of preparation in the fronto-parietal network? ,24642280
DRD2/CHRNA5 Interaction on Prefrontal Biology and Physiology during Working Memory,24819610
Investigation of the neural correlates underlying action observation in multiple sclerosis patients ,19285072
Effect of neurofeedback training on the neural substrates of selective attention in children with attention-deficit/hyperactivity disorder: A functional magnetic resonance imaging study ,16343769
"Post-traumatic stress symptoms correlate with smaller subgenual cingulate, caudate, and insula volumes in unmedicated combat veterans",23021615
Extensive video-game experience alters cortical networks for complex visuomotor transformations ,20060111
Effects of multitasking‐training on gray matter structure and resting state neural mechanisms,24343872
Functional MRI of Challenging Food Choices: Forced Choice between Equally Liked High- and Low-Calorie Foods in the Absence of Hunger,26167916
Neural correlates of age-related visual search decline: A combined ERP and sLORETA study ,18395470
Prognostic value of cortically induced motor evoked activity by TMS in chronic stroke: Caveats from a revealing single clinical case,22682434
The neuronal correlates of intranasal trigeminal function – An ALE meta-analysis of human functional brain imaging data,19913573
Genetic variation in nicotinic receptors affects brain networks involved in reorienting attention ,21821135
Relation of white matter anisotropy to visual memory in 17 healthy subjects ,17707351
Psychophysiological responses to pain identify reproducible human clusters ,23714265
Neural correlates of reality monitoring during adolescence ,21195192
Brain mu-opioid receptor binding predicts treatment outcome in cocaine-abusing outpatients,20579973
Structural encoding and recognition of biological motion: evidence from event-related potentials and source analysis ,15639170
Alterations in resting functional connectivity due to recent motor task,23583747
Age-related differences in the neural substrates of cross-modal olfactory recognition memory: An fMRI investigation,19505443
Neural activity during attentional conflict predicts reduction in tinnitus perception following rTMS,28629874
Caught in the act: The impact of audience on the neural response to morally and socially inappropriate behavior ,16891125
Patterns of response to scrambled scenes reveal the importance of visual properties in the organization of scene-selective cortex ,28499144
Taking perspective into account in a communicative task ,20510369
Neuroimaging of Reading Intervention: A Systematic Review and Activation Likelihood Estimate Meta-Analysis,24427278
Similar coding of freely chosen and externally cued intentions in a fronto-parietal network ,27107470
Involvement of the mentalizing network in social and non-social high construal,23552077
Deep Transcranial Magnetic Stimulation in a Woman With Chronic Tinnitus: Clinical and fMRI Findings. Seeking Relief From a Symptom and Finding Vivid Memories by Serendipity ,24685051
Abnormal Functional Connectivity of Hippocampus During Episodic Memory Retrieval Processing Network in Amnestic Mild Cognitive Impairment ,19028382
Cortical reinstatement and the confidence and accuracy of source memory,25583615
Grey matter deficits and symptom profile in first episode schizophrenia ,16055311
Perceptual and Brain Response to Odors Is Associated with Body Mass Index and Postprandial Total Ghrelin Reactivity to a Meal,26826114
Neural Responses to Ambiguity Involve Domain-general and Domain-specific Emotion Processing Systems,23363410
Connectivity Analysis Reveals a Cortical Network for Eye Gaze Perception,20016001
Neuroimaging-guided rTMS of the left inferior frontal gyrus interferes with repetition priming ,15808982
Voxel-based lesion-symptom mapping of stroke lesions underlying somatosensory deficits,26900565
Diminished Posterior Precuneus Connectivity with the Default Mode Network Differentiates Normal Aging from Alzheimer's Disease,28469571
Parietal modules for reaching ,19109986
Why Do Some Find it Hard to Disagree? An fMRI Study,26858629
Inconsistency in Abnormal Brain Activity across Cohorts of ADHD-200 in Children with Attention Deficit Hyperactivity Disorder,28634439
Abnormal Hemodynamics in Schizophrenia During an Auditory Oddball Task,15860344
Differential activation of the amygdala and the ‘social brain’ during fearful face-processing in Asperger Syndrome ,16806312
Aberrant Functional Connectivity of Resting State Networks in Transient Ischemic Attack,23951069
Cerebellum and M1 interaction during early learning of timed motor sequences ,15955490
The neural predictors of choice preference in intertemporal choice ,22221735
Processing of sub-syllabic speech units in the posterior temporal lobe: An fMRI study ,15894493
Functional MRI approach for assessing hemispheric predominance of regions activated by a phonological and a semantic task ,17339089
On the neuro-cognitive foundations of basic auditory number processing: an fMRI study,20618926
The ventral fiber pathway for pantomime of object use ,25462791
Functional and Structural Signatures of the Anterior Insula are associated with Risk-taking Tendency of Analgesic Decision-making,27892543
The dorsal auditory pathway is involved in performance of both visual and auditory rhythms ,18848999
The role of the left Brodmann's areas 44 and 45 in reading words and pseudowords ,16310346
Investigating the Neural Correlates of Voice versus Speech-Sound Directed Information in Pre-School Children,25532132
Negative words enhance recognition in nonclinical high dissociators: An fMRI study ,17572110
Cerebral processing of umami: A pilot study on the effects of familiarity ,25911584
A parametric approach to voxel-based meta-analysis ,19457393
The left inferior frontal gyrus is involved in adjusting response bias during a perceptual decision-making task,24944869
Alcohol Affects Neuronal Substrates of Response Inhibition but Not of Perceptual Processing of Stimuli Signalling a Stop Response,24086758
The development of print tuning in children with dyslexia: Evidence from longitudinal ERP data supported by fMRI ,21040695
Synchronous activation within the default mode network correlates with perceived social support ,25111033
Recursive Cluster Elimination Based Support Vector Machine for Disease State Prediction Using Resting State Functional and Effective Brain Connectivity,21151556
Evaluation of the Effectiveness of Pregabalin in Alleviating Pain Associated with Fibromyalgia: Using Functional Magnetic Resonance Imaging Study,24040178
Children’s and adults’ neural bases of verbal and nonverbal ‘Theory of Mind’,17208260
Neural responses to kindness and malevolence differ in illness and recovery in women with anorexia nervosa,26416161
Generating animal and tool names: An fMRI study of effective connectivity ,15766766
Difference in amplitude of low-frequency fluctuation between currently depressed and remitted females with major depressive disorder ,24121137
The neural correlates of statistical learning in a word segmentation task: An fMRI study,23312790
Brain basis of communicative actions in language,26505303
Disorder-specific characteristics of borderline personality disorder with co-occurring depression and its comparison with major depression: An fMRI study with emotional interference task,27672555
The Brain under Self-Control: Modulation of Inhibitory and Monitoring Cortical Networks during Hypnotic Paralysis ,19555654
Lateral frontal pole and relational processing: Activation patterns and connectivity profile ,28811179
Processing social aspects of human gaze: A combined fMRI-DTI study ,21095230
"Modulation of resting brain cerebral blood flow by the GABA B agonist, baclofen: A longitudinal perfusion fMRI study",21333466
Functional Subdivisions in the Left Angular Gyrus Where the Semantic System Meets and Diverges from the Default Network,21159952
Generation of novel motor sequences: The neural correlates of musical improvisation ,18420426
Occipital cortical thickness in very low birth weight born adolescents predicts altered neural specialization of visual semantic category related neural networks ,25458481
Differential activation of the lateral premotor cortex during action observation,20673366
Effects of expectation on the brain metabolic responses to methylphenidate and to its placebo in non-drug abusing subjects ,16757181
Elevated amygdala responses to emotional faces in youths with chronic irritability or bipolar disorder ☆,23977455
Tool selection and the ventral‐dorsal organization of tool‐related knowledge,28183861
Abnormal white matter microstructure in drug-naive first episode schizophrenia patients before and after eight weeks of antipsychotic treatment ,26852402
Altered EEG lagged coherence during rest in obsessive–compulsive disorder ,23968842
Common and distinct neural effects of risperidone and olanzapine during procedural learning in schizophrenia: a randomised longitudinal fMRI study,25980483
Different neural systems adjust motor behavior in response to reward and punishment ,17521924
The neural bases of argument structure processing revealed by primed lexical decision ,24922622
Neural correlates of associative learning and memory in veterans with posttraumatic stress disorder ,17698081
Brain volume and dysexecutive behavior in schizophrenia ,19625009
Increased gray matter volume in the right angular and posterior parahippocampal gyri in loving-kindness meditators,22814662
Structural and functional cerebral impairments in cirrhotic patients with a history of overt hepatic encephalopathy ,22056487
Structural and Functional Changes in Subcortical Vascular Mild Cognitive Impairment: A Combined Voxel-Based Morphometry and Resting-State fMRI Study,23028606
"Neural Correlates of Metaphor Processing: The Roles of Figurativeness, Familiarity and Difficulty",19586700
Distinct functional connectivity of the hippocampus during semantic and phonemic fluency ,25619848
Neuroimaging of marijuana smokers during inhibitory processing: a pilot investigation ,15795138
Dynamic Neural Network of Insight: A Functional Magnetic Resonance Imaging Study on Solving Chinese ‘Chengyu’ Riddles,23555020
Pseudocontinuous arterial spin labeling reveals dissociable effects of morphine and alcohol on regional cerebral blood flow,21245872
Perceptual bias following visual target selection ,15850734
Simultaneous EEG-fMRI during a Working Memory Task: Modulations in Low and High Frequency Bands,20421978
fMRI Activation Changes during Successful Episodic Memory Encoding and Recognition in Amnestic Mild Cognitive Impairment Relative to Cognitively Healthy Older Adults,18663302
Say it with flowers! An fMRI study of object mediated communication ,18771801
Social status modulates neural activity in the mentalizing network,22289808
Stimulus content and the neural correlates of source memory,21145314
"Don't look back in anger: Neural correlates of reappraisal, analytical rumination, and angry rumination during recall of an anger-inducing autobiographical memory ",22015853
A variant of logistic transfer function in Infomax and a postprocessing procedure for independent component analysis applied to fMRI data ,17368793
Dissociable parietal systems for primacy and subsequent memory effects ,16473028
"Functional Anatomy of the Masking Level Difference, an fMRI Study",22848453
Striatal Topography of Probability and Magnitude Information for Decisions Under Uncertainty,22100418
Multispectral brain morphometry in Tourette syndrome persisting into adulthood,21071387
The neural correlates of recollection and retrieval monitoring: relationships with age and recollection performance,27155127
Sex differences in the brain response to affective scenes with or without humans ,19061906
Amygdala Function In Adolescents With Congenital Adrenal Hyperplasia: A Model For The Study Of Early Steroid Abnormalities,17336344
The Role of the Insular Cortex in Retaliation,27096431
Evaluation of net causal influences in the circuit responding to premotor control during the movement-readiness state using conditional Granger causality ,25148703
Maternal age affects brain metabolism in adult children of mothers affected by Alzheimer’s disease,21514691
Medial Prefrontal Functional Connectivity – Relation to Memory Self-appraisal Accuracy in Older Adults with and without Memory Disorders,22230228
